SOURCE	TARGET
الى	إلى
التعليق	التعليق
رقم	رقم
2	2
	:
اكيد	أكيد
ان	أن
لحكام	للحكام
العرب	العرب
والمسلمين	والمسلمين
مسؤولية	مسؤولية
يتمثل	يتمثل
ادناها	أدناها
في	في
استدعاء	استدعاء
السفراء	السفراء
في	في
الصين	الصين
للتشاور	للتشاور
.	.
فليتهم	فليتهم
يفعلونها	يفعلونها
ولو	ولو
مرة	مرة
.	!
ولنا	ولنا
نحن	نحن
كشعوب	كشعوب
مسؤولية	مسؤولية
كذالك	كذلك
تتمثل	تتمثل
في	في
مساندة	مساندة
اخواننا	إخواننا
في	في
الصين	الصين
بمقاطعة	بمقاطعة
البضائع	البضائع
الصينينة	الصينية
	.
وليتنا	وليتنا
نفعلها	نفعلها
ولو	ولو
ثلاتة	ثلاثة
اشهر	أشهر
.	!

نحن	نحن
ببالغ	ببالغ
الاسى	الأسى
نعزي	نعزي
ضحايا	ضحايا
الحادث	الحادث
الاليم	الأليم
الذي	الذي
ذهب	ذهب
ضحيته	ضحيته
حوالي	حوالي
77	77
ما	ما
بين	بين
جريح	جريح
ومتوفي	ومتوفي
	.
واطالب	وأطالب
من	من
سلطات	سلطات
بلادي	بلادي
ان	أن
تطبق	تطبق
القانون	القانون
بصرامة	بصرامة
	،
وتضرب	وتضرب
بيد	بيد
من	من
حديد	حديد
مثل	مثل
هؤلاء	هؤلاء
المجرمين	المجرمين
	،
والمتهورين	والمتهورين
	،
والمتسببين	والمتسببين
في	في
مثل	مثل
هذه	هذه
الحوادث	الحوادث
	.
رحم	رحم
الله	الله
الضحايا	الضحايا
واسكنهم	وأسكنهم
فسيح	فسيح
جنانه	جنانه
	،
والهم	وألهم
ذويهم	ذويهم
الصبر	الصبر
والسلوان	والسلوان
	.
ان	إنا
لله	لله
وان	وإنا
اليه	إليه
راجعون	راجعون
.	.

للاسف	للأسف
ان	إن
الدم	الدم
المهدور	المهدور
عراقي	عراقي
	،
لكن	لكن
بشكل	بشكل
عام	عام
لماذا	لماذا
الاتهام	الاتهام
من	من
قبل	قبل
الاعلام	الإعلام
الغربي	الغربي
والعربي	والعربي
للقاعدة	للقاعدة
	،
والتطرف	والتطرف
	،
والناس	والناس
المتسللة	المتسللة
من	من
دول	دول
الجوار	الجوار
فقط	فقط
	؟
هل	هل
اصبح	أصبح
العراقيون	العراقيون
جميعهم	جميعهم
بلا	بلا
دم	دم
	،
واحساس	وإحساس
	،
وادناب	وأذنابا
للامريكان	للأمريكان
	،
ولا	ولا
احد	أحد
يفكر	يفكر
بالمقاومة	بالمقاومة
الحقيقية	الحقيقية
	؟
(	(
لا	لا
اعتقد	أعتقد
ذلك	ذلك
)	)
حيث	حيث
لافرق	لا فرق
بين	بين
الاستعمار	الاستعمار
والحكومة	والحكومة
الحالية	الحالية
بما	بما
انها	أنها
الخادم	الخادم
الامين	الأمين
والمخلص	والمخلص
لذلك	لذلك
الاستعمار	الاستعمار
.	.
اليس	أليس
كذلك	كذلك
	؟

واصل	واصل
الثوار	الثوار
أنتصاراتهم	انتصاراتهم
وحررو	وحرروا
كل	كل
حقول	حقول
النفط	النفط
السورية	السورية
.	.
لهذا	لهذا
السبب	السبب
قام	قام
النظام	النظام
اللبناني	اللبناني
الخائن	الخائن
بمساعدة	بمساعدة
نظام	نظام
الاسد	الأسد
بالبنزين	بالبنزين
والمازوت	والمازوت
منتهكآ	منتهكا
العقوبات	العقوبات
المفروضة	المفروضة
على	على
النظام	النظام
.	.
ولكن	ولكن
الثوار	الثوار
قررو	قرروا
قطع	قطع
الطريق	الطريق
بين	بين
دمشق	دمشق
وبيروت	وبيروت
	،
واستهداف	واستهداف
صهاريج	صهاريج
النفط	النفط
القادم	القادمة
من	من
لبنان	لبنان
لخنق	لخنق
النظام	النظام
.	.

يا	يا
حرام	حرام
على	على
ما	من
يدعو	يدعون
نفسهم	نفسهم
شبيحة	شبيحة
الأسد	الأسد
وحزب	وحزب
الله	الله
بعد	بعد
ان	أن
ارسلهم	أرسلهم
عميل	عميل
الصهاينة	الصهاينة
المستعرب	المستعرب
خامنئي	خامنئي
الجزار	الجزار
لقتل	لقتل
أهلهم	أهلهم
	،
وخدمة	وخدمة
لمصالح	لمصالح
وطموح	وطموح
ايران	إيران
بالسيطرة	بالسيطرة
على	على
بلاد	بلاد
الشام	الشام
.	.
ولكنهم	ولكنهم
أكتشفوا	اكتشفوا
ان	أن
موتهم	موتهم
ونهايتهم	ونهايتهم
في	في
دمشق	دمشق
	،
وجثثهم	وجثثهم
في	في
كل	كل
مكان	مكان
.	.
حتى	حتى
نظامهم	نظامهم
البائد	البائد
لا	لا
يجرؤ	يجرؤ
على	على
سحبها	سحبها
خوفا	خوفا
من	من
ضربات	ضربات
جيش	جيش
الشعب	الشعب
السوري	السوري
الحر	الحر
	.

اليوم	اليوم
المظاهرات	المظاهرات
الحاشدة	الحاشدة
تعتبر	تعتبر
جمعة	جمعة
مفصلية	مفصلية
تاريخية	تاريخية
	،
حيث	حيث
حظي	حظي
المجلس	المجلس
بتاييد	بتأييد
شعبي	شعبي
واسع	واسع
	،
وايضا	وأيضا
ظهر	ظهر
ان	أن
بشار	بشار
والة	وآلة
القتل	القتل
عجزت	عجزت
عن	عن
مواجهة	مواجهة
الشعب	الشعب
السوري	السوري
	.
بل	بل
ان	إن
باعتقادي	باعتقادي
ان	أن
بشار	بشار
سينهار	سينهار
قريبا	قريبا
	،
فالجزيرة	فالجزيرة
نقلت	نقلت
عن	عن
ميدفيدف	ميدفيديف
انه	أنه
يطالب	يطالب
الرئيس	الرئيس
السوري	السوري
بالتنحي	بالتنحي
	.

وقف	وقف
اطلاق	إطلاق
الصواريخ	الصواريخ
من	من
غزة	غزة
مقابل	مقابل
رفع	رفع
الحصار	الحصار
عن	عن
غزة	غزة
.	.
وقف	وقف
اطلاق	إطلاق
الصواريخ	الصواريخ
من	من
غزة	غزة
مقابل	مقابل
رفع	رفع
الحصار	الحصار
عن	عن
غزة	غزة
.	.
